,REGION,DISTRICT,MALE,FEMALE
0,ARUSHA,ARUSHA RURAL,32475.0,33698.0
1,ARUSHA,ARUSHA URBAN,36315.0,36993.0
2,ARUSHA,KARATU,23303.0,23181.0
3,ARUSHA,LONGIDO,10584.0,9045.0
4,ARUSHA,MERU,33854.0,34171.0
5,ARUSHA,MONDULI,13689.0,12888.0
6,ARUSHA,NGORONGORO,16017.0,12162.0
7,DAR ES SALAAM,ILALA,73129.0,78309.0
8,DAR ES SALAAM,KINONDONI,91554.0,93921.0
9,DAR ES SALAAM,TEMEKE,85118.0,88813.0
10,DODOMA,BAHI,15672.0,15967.0
11,DODOMA,CHAMWINO,26483.0,28264.0
12,DODOMA,CHEMBA,30723.90977443609,31284.9022556391
13,DODOMA,DODOMA URBAN,35137.0,36806.0
14,DODOMA,KONDOA,48859.0,55869.0
15,DODOMA,KONGWA,27169.0,30264.0
16,DODOMA,MPWAPWA,32176.0,31646.0
17,GEITA,BUKOMBE,39490.0,40178.0
18,GEITA,CHATO,39377.0,38393.0
19,GEITA,GEITA,115698.0,116328.0
20,GEITA,GEITA URBAN,30723.90977443609,31284.9022556391
21,GEITA,MBOGWE,30723.90977443609,31284.9022556391
22,GEITA,NYANG'HWALE,30723.90977443609,31284.9022556391
23,IRINGA,IRINGA RURAL,28608.0,28990.0
24,IRINGA,IRINGA URBAN,13115.0,13449.0
25,IRINGA,KILOLO,29161.0,30316.0
26,IRINGA,MUFINDI,32996.0,34659.0
27,KAGERA,BIHARAMULO,20620.0,20865.0
28,KAGERA,BUKOBA RURAL,27577.0,28264.0
29,KAGERA,BUKOBA URBAN,10377.0,10654.0
30,KAGERA,KARAGWE,58254.0,61567.0
31,KAGERA,KYERWA,30723.90977443609,31284.9022556391
32,KAGERA,MISSENYI,19480.0,19354.0
33,KAGERA,MULEBA,51631.0,51767.0
34,KAGERA,NGARA,34033.0,35002.0
35,KATAVI,MLELE,30723.90977443609,31284.9022556391
36,KATAVI,MPANDA RURAL,35791.0,35411.0
37,KATAVI,MPANDA URBAN,9376.0,9565.0
38,KATAVI,NSIMBO,30723.90977443609,31284.9022556391
39,KIGOMA,BUHIGWE,30723.90977443609,31284.9022556391
40,KIGOMA,KAKONKO,30723.90977443609,31284.9022556391
41,KIGOMA,KASULU,58799.0,60225.0
42,KIGOMA,KIBONDO,34281.0,34954.0
43,KIGOMA,KIGOMA RURAL,55053.0,55122.0
44,KIGOMA,KIGOMA URBAN,20765.0,20768.0
45,KIGOMA,UVINZA,30723.90977443609,31284.9022556391
46,KILIMANJARO,HAI,17866.0,17477.0
47,KILIMANJARO,MOSHI RURAL,38303.0,38332.0
48,KILIMANJARO,MOSHI URBAN,13585.0,13743.0
49,KILIMANJARO,MWANGA,13781.0,13230.0
50,KILIMANJARO,ROMBO,27554.0,26641.0
51,KILIMANJARO,SAME,29692.0,29578.0
52,KILIMANJARO,SIHA,8638.0,8678.0
53,LINDI,KILWA,18734.0,18970.0
54,LINDI,LINDI RURAL,17543.0,18427.0
55,LINDI,LINDI URBAN,6283.0,6462.0
56,LINDI,LIWALE,9339.0,9668.0
57,LINDI,NACHINGWEA,15684.0,16152.0
58,LINDI,RUANGWA,10928.0,11592.0
59,MANYARA,BABATI RURAL,29144.0,30074.0
60,MANYARA,BABATI URBAN,7910.0,8081.0
61,MANYARA,HANANG,26099.0,26670.0
62,MANYARA,KITETO,16823.0,17030.0
63,MANYARA,MBULU,28114.0,29437.0
64,MANYARA,SIMANJIRO,16528.0,13677.0
65,MARA,BUNDA,43433.0,42739.0
66,MARA,BUTIAMA,30723.90977443609,31284.9022556391
67,MARA,MUSOMA RURAL,49746.0,48706.0
68,MARA,MUSOMA URBAN,15894.0,16411.0
69,MARA,RORYA,32334.0,31840.0
70,MARA,SERENGETI,27962.0,27311.0
71,MARA,TARIME RURAL,43986.0,42706.0
72,MARA,TARIME TC,30723.90977443609,31284.9022556391
73,MBEYA,BUSOKELO,30723.90977443609,31284.9022556391
